uai - identifiant;exercice;Acquisitions d'immobilisations;ANR hors investissements d'avenir;ANR investissements d'avenir;Autres ressources propres;Autres Subventions;Besoin en fonds de roulement;CAF / Produits encaissables;Charges externes;Charges externes / Produits.encaissables;Contrats et prestations de recherche hors ANR;Droits d'inscription;Fonds de roulement net global;Produits de fonctionnement encaissables;Ressources propres / Produits encaissables;Taxe d'apprentissage;Valorisation;rce;vague;Etablissement;commune;academie;region;code de la commune;code de l'academie;code de la region;source;id - paysage;CAF / Acquisitions d'immobilisations;Capacité d'autofinancement;Charges de fonctionnement décaissables;Charges de personnel;Charges de personnel / Produits encaissables;Charges décaissables / Produits.encaissables;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Formation continue, diplômes propres et VAE;Recettes propres;Ressources propres encaissables;Résultat net comptable;Résultat net comptable hors SIE;Solde budgétaire;Subventions Union Européenne;Subventions de la région;Taux de rémunération des permanents;Trésorerie;Trésorerie en jours de charges décaissables
0932066R;2010;201949.03;0.0;0.0;64170.45;20382.16;110178.8;18.2333061448872;1033921.78;47.8953292813969;209910.0;;1432907.0;2158711.08;53.4325362336121;676226.66;;;;Ecole Nationale Supérieure Louis-Lumière;;;;;;;Comptes financiers;13fXQ;194.902842563789;393604.4;1765106.68;724055.02;33.5410804488019;81.7666938551128;385147.35;292.246653329758;;1153454.08;1153454.08;348748.33;;;;;;1322728.2;269.775281797698
0932066R;2017;313514.0;;;;;-34972.0;7.52483777789076;;;;;2575047.0;5035072.0;18.981595496549;;;;Vague E;Ecole Nationale Supérieure Louis-Lumière;Saint-Denis;Créteil;Île-de-France;93066;A24;R11;Comptes financiers;13fXQ;120.8497866124;378881.0;;777338.0;15.4384684072045;;;;;955737.0;955737.0;195764.0;195764.0;;;;;2610019.0;
0932066R;2018;286082.0;;;0.0;;-110835.0;7.29078636640885;;;;;2678230.0;5341454.0;16.6045050654747;;;;Vague E;Ecole Nationale Supérieure Louis-Lumière;Saint-Denis;Créteil;Île-de-France;93066;A24;R11;Comptes financiers;13fXQ;136.126704930754;389434.0;4678047.0;721553.0;13.5085502936092;87.580029707267;;206.103700967519;;443461.0;886922.0;167387.0;167387.0;155700.0;;;;2789065.0;214.633029552717
0932066R;2019;;;;0.0;;;;;;;;;;;;;;Vague E;Ecole Nationale Supérieure Louis-Lumière;Saint-Denis;Créteil;Île-de-France;93066;A24;R11;Comptes financiers;13fXQ;;;;;;;;;;0.0;;;;;;;;;
0932560C;2019;162302994.0;;;23529188.0;;-36791996.0;-56.6323270677206;;;;;26618218.0;7532703.0;81.1488651550446;;;;;Etablissement public Campus Condorcet;Aubervilliers;Créteil;Île-de-France;93001;A24;R11;Comptes financiers;DmOC1;-2.62838342957493;-4265945.0;11798648.0;90992.0;1.20795948014942;156.632327067721;;812.174283019546;;23529188.0;6112703.0;437319.0;437319.0;-80586244.0;;;;63410214.0;1934.77058049363
0940607Z;2011;3593136.55;0.0;0.0;3526172.27;3873098.02;;6.21846666981357;9712454.14;9.78743536226115;1829043.13;455314.24;1749665.2;99233903.27;13.2456697326887;289662.15;8000.88;2011;Vague E;Ecole normale supérieure CACHAN;Gif-sur-Yvette;Versailles;Île-de-France;91272;A25;R11;Comptes financiers;6kk6n;171.739290008335;6170827.19999999;93056735.68;81549261.2;82.1788305334692;93.775143991673;6336483.12999999;6.76876818638908;255342.58;13144195.09;13144195.09;4456439.31999999;;;1932213.79;859914.82;87.4253784894832;5695824.41;22.0349099140031
0940607Z;2016;4419889.0;;;;;-4930663.0;5.75326684965983;;;;;21598813.0;80305731.0;10.4695130662592;;;2011;Vague E;Ecole normale supérieure CACHAN;Gif-sur-Yvette;Versailles;Île-de-France;91272;A25;R11;Comptes financiers;6kk6n;104.532104765527;4620203.0;75585156.0;67634342.0;84.2210651192503;94.1217458066598;;102.871689250731;;8407619.0;8407619.0;2273221.0;2273221.0;1382325.0;;;87.5275069597555;26529476.0;126.355647926426
0941111X;2013;;1498318.61;582903.3;12377061.47;1488753.58;;3.241971303;31417013.55;14.38560628;3855175.39;3966662.49;28010766.64;218392001.9;14.6188772;1121408.6;1276.49;2010;Vague E;Université PARIS-EST CRÉTEIL;Créteil;Créteil;Île-de-France;94028;A24;R11;Comptes financiers;vb71K;;7080206.03;211264130.7;175910786.4;80.54818166;96.73620319;11806410.45;47.73113143;6133818.68;31926458.58;31926458.58;2726225.07;;;60301.98;840777.99;82.7743285602064;35089035.87;59.79270059
0941111X;2016;17558495.0;;;;;-11637858.0;2.88600507606737;;;;;26524526.0;225207019.0;16.0437255288211;;;2010;Vague E;Université PARIS-EST CRÉTEIL;Créteil;Créteil;Île-de-France;94028;A24;R11;Comptes financiers;vb71K;37.0161907384431;6499486.0;218141261.0;181906042.0;80.7728119699502;96.8625498302076;;43.7736048477321;;36131596.0;36131596.0;2580594.0;2580594.0;1927897.0;;;84.6908115189862;38162384.0;62.9796407017194
0951376E;2013;;;;;;;;;;;;8407940.55;;;;;;Vague E;ENSEA CERGY;Cergy;Versailles;Île-de-France;95127;A25;R11;Comptes financiers;tdEpy;;;;;;;;;;;;;;;;;;8731283.1;
