Année;Organisme;Libellé organisme;Statut regroupé;Statut/Nature de contrat;Type d'emploi;Effectif au 31/12 (en ETPT);Libellé actuel de l'organisme;ROR;UAI;Paysage;Wikidata;SIREN
2018;CNRS;Centre national de la recherche scientifique;Non permanents;Autres CDD, hors chercheurs;Emplois sous plafond;428.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
2018;CNRS;Centre national de la recherche scientifique;Non permanents;CDD chercheurs;Emplois sous plafond;143.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
2018;CNRS;Centre national de la recherche scientifique;Permanents;Titulaires de l'organisme, y compris ceux mis à disposition, yc fonctionnaires stagiaires (non encore titularisés), contrats PACTE;Emplois hors plafond;0.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
2018;CNRS;Centre national de la recherche scientifique;Permanents;Titulaires de l'organisme, y compris ceux mis à disposition, yc fonctionnaires stagiaires (non encore titularisés), contrats PACTE;Emplois sous plafond;23786.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
2018;CNRS;Centre national de la recherche scientifique;Non permanents;Volontaires civils ou militaires;Emplois hors plafond;0.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
2018;INED;Institut national d'études démographiques;Non permanents;Autres CDD, hors chercheurs;Emplois sous plafond;33.06;Institut national d'études démographiques;02cnsac56;"0932770F;0755360U";WuERk;Q3152388;180037020
2018;INED;Institut national d'études démographiques;Permanents;CDI;Emplois sous plafond;1.7;Institut national d'études démographiques;02cnsac56;"0932770F;0755360U";WuERk;Q3152388;180037020
2018;INED;Institut national d'études démographiques;Non permanents;Contrat unique d'insertion - contrat d'accompagnement dans l'emploi (CUI-CAE);Emplois sous plafond;0.0;Institut national d'études démographiques;02cnsac56;"0932770F;0755360U";WuERk;Q3152388;180037020
2018;INED;Institut national d'études démographiques;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur emploi;Emplois sous plafond;4.11;Institut national d'études démographiques;02cnsac56;"0932770F;0755360U";WuERk;Q3152388;180037020
2018;INED;Institut national d'études démographiques;Non permanents;Stagiaires rémunérés;Emplois hors plafond;0.0;Institut national d'études démographiques;02cnsac56;"0932770F;0755360U";WuERk;Q3152388;180037020
2018;INRA;Institut national de la recherche agronomique;Non permanents;Apprentis;Emplois hors plafond;0.0;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01x3gbx83;0755361V;t4SA4;Q1665106;180070039
2018;INRA;Institut national de la recherche agronomique;Non permanents;CDD chercheurs;Emplois sous plafond;55.8;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01x3gbx83;0755361V;t4SA4;Q1665106;180070039
2018;INRA;Institut national de la recherche agronomique;Non permanents;Contrat unique d'insertion - contrat d'accompagnement dans l'emploi (CUI-CAE);Emplois hors plafond;0.0;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01x3gbx83;0755361V;t4SA4;Q1665106;180070039
2018;INRA;Institut national de la recherche agronomique;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur emploi;Emplois hors plafond;0.0;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01x3gbx83;0755361V;t4SA4;Q1665106;180070039
2018;INRA;Institut national de la recherche agronomique;Non permanents;Vacataires;Emplois sous plafond;0.0;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01x3gbx83;0755361V;t4SA4;Q1665106;180070039
2018;INRIA;Institut national de recherche en informatique et en automatique;Non permanents;Autres CDD, hors chercheurs;Emplois hors plafond;254.113149077;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
2018;INRIA;Institut national de recherche en informatique et en automatique;Non permanents;Autres CDD, hors chercheurs;Emplois sous plafond;231.592327748;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
2018;INRIA;Institut national de recherche en informatique et en automatique;Non permanents;CDD doctorants, contrats doctoraux;Emplois sous plafond;101.029588702;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
2018;INRIA;Institut national de recherche en informatique et en automatique;Non permanents;Contrat unique d'insertion - contrat d'accompagnement dans l'emploi (CUI-CAE);Emplois hors plafond;0.0;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
2018;INRIA;Institut national de recherche en informatique et en automatique;Non permanents;Contrat unique d'insertion - contrat d'accompagnement dans l'emploi (CUI-CAE);Emplois sous plafond;0.0;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
2018;INRIA;Institut national de recherche en informatique et en automatique;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur contrat;Emplois hors plafond;2.66301369667;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
2018;INRIA;Institut national de recherche en informatique et en automatique;Non permanents;Stagiaires rémunérés;Emplois hors plafond;179.030956692;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
2018;INRIA;Institut national de recherche en informatique et en automatique;Non permanents;Vacataires;Emplois hors plafond;9.06904101837;Institut national de recherche en informatique et en automatique;02kvxyf05;0780491K;E1Wdn;Q1146208;180089047
2018;INSERM;Institut national de la santé et de la recherche médicale;Non permanents;CDD handicap;Emplois sous plafond;12.2;Institut national de la santé et de la recherche médicale;02vjkv261;0755364Y;bZiTA;Q1474517;180036048
2018;INSERM;Institut national de la santé et de la recherche médicale;Non permanents;Contrat unique d'insertion - contrat d'accompagnement dans l'emploi (CUI-CAE);Emplois sous plafond;6.85929979561;Institut national de la santé et de la recherche médicale;02vjkv261;0755364Y;bZiTA;Q1474517;180036048
2018;INSERM;Institut national de la santé et de la recherche médicale;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur emploi;Emplois sous plafond;16.8;Institut national de la santé et de la recherche médicale;02vjkv261;0755364Y;bZiTA;Q1474517;180036048
2018;INSERM;Institut national de la santé et de la recherche médicale;Non permanents;Stagiaires rémunérés;Emplois hors plafond;0.0;Institut national de la santé et de la recherche médicale;02vjkv261;0755364Y;bZiTA;Q1474517;180036048
2018;INSERM;Institut national de la santé et de la recherche médicale;Non permanents;Stagiaires rémunérés;Emplois sous plafond;0.0;Institut national de la santé et de la recherche médicale;02vjkv261;0755364Y;bZiTA;Q1474517;180036048
2018;IRD;Institut de recherche pour le développement;Non permanents;Apprentis;Emplois hors plafond;0.0;Institut de recherche pour le développement;05q3vnk25;0755362W;Uan45;Q2910510;180006025
2018;IRD;Institut de recherche pour le développement;Non permanents;CDD handicap;Emplois hors plafond;0.0;Institut de recherche pour le développement;05q3vnk25;0755362W;Uan45;Q2910510;180006025
2018;IRD;Institut de recherche pour le développement;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur contrat;Emplois hors plafond;1.575;Institut de recherche pour le développement;05q3vnk25;0755362W;Uan45;Q2910510;180006025
2018;IRD;Institut de recherche pour le développement;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur emploi;Emplois hors plafond;0.0;Institut de recherche pour le développement;05q3vnk25;0755362W;Uan45;Q2910510;180006025
2018;IRD;Institut de recherche pour le développement;Permanents;Fonctionnaires, titulaires d'autres organismes accueillis sur emploi;Emplois sous plafond;33.4;Institut de recherche pour le développement;05q3vnk25;0755362W;Uan45;Q2910510;180006025
2018;IRD;Institut de recherche pour le développement;Non permanents;Volontaires civils ou militaires;Emplois hors plafond;3.66666666667;Institut de recherche pour le développement;05q3vnk25;0755362W;Uan45;Q2910510;180006025
2018;IRSTEA;Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture;Non permanents;Stagiaires rémunérés;Emplois sous plafond;0.0;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01wep6g48;0922644Z;t4SA4;Q3152425;180070013
2018;IRSTEA;Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture;Permanents;Titulaires de l'organisme, y compris ceux mis à disposition, yc fonctionnaires stagiaires (non encore titularisés), contrats PACTE;Emplois sous plafond;824.738666667;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;01wep6g48;0922644Z;t4SA4;Q3152425;180070013
2019;CNRS;Centre national de la recherche scientifique;Non permanents;Apprentis;Emplois sous plafond;0.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
2019;CNRS;Centre national de la recherche scientifique;Non permanents;Autres CDD, hors chercheurs;Emplois sous plafond;398.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
2019;CNRS;Centre national de la recherche scientifique;Non permanents;CDD handicap;Emplois hors plafond;0.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
2019;CNRS;Centre national de la recherche scientifique;Non permanents;Stagiaires rémunérés;Emplois sous plafond;0.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
2019;CNRS;Centre national de la recherche scientifique;Permanents;Titulaires de l'organisme, y compris ceux mis à disposition, yc fonctionnaires stagiaires (non encore titularisés), contrats PACTE;Emplois hors plafond;0.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
2019;CNRS;Centre national de la recherche scientifique;Permanents;Titulaires de l'organisme, y compris ceux mis à disposition, yc fonctionnaires stagiaires (non encore titularisés), contrats PACTE;Emplois sous plafond;23811.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
2019;CNRS;Centre national de la recherche scientifique;Non permanents;Volontaires civils ou militaires;Emplois sous plafond;0.0;Centre national de la recherche scientifique;02feahw73;0753639Y;n2X5f;Q280413;180089013
