"Pays_Code";"Pays";"Mesure";"Unité";"Multiplicateur";"Base";"Date";"Valeur";"Statut"
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2003;70208,6322;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2004;83794,69864;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2005;100575,1372;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2006;118566,6458;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2007;135839,6492;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2008;156663,5362;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2010;224422,1758;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2011;255764,0057;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2012;296106,3449;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2013;332930,3793;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2014;361714,6112;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2015;393482,3751;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2016;429282,4463;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2017;463164,7794;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2018;500284,6129;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2019;555878,6356;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2020;607601,4738;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2021;665789,891;"  "
"CHN";"Chine";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2022;719192,2878;"  "
