"Rentrée";"Personnel";"etablissement_type";"Catégorie";"Corps";"code_corps";"Filière";"Sexe";"Effectif"
2015;"contractuels";"Grand établissement";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Femme";135
2015;"contractuels";"Grand établissement";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Homme";271
2015;"contractuels";"Grand établissement";"A";"Médecins de prévention";"MED PREV";"Sociale et de santé";"Femme";16
2015;"contractuels";"Grand établissement";"A";"Médecins de prévention";"MED PREV";"Sociale et de santé";"Homme";4
2015;"contractuels";"Grand établissement";"B";"Assistants de service social des administrations de l'Etat";"ASSAE";"Sociale et de santé";"Femme";5
2015;"contractuels";"Grand établissement";"B";"Assistants de service social des administrations de l'Etat";"ASSAE";"Sociale et de santé";"Homme";0
2015;"contractuels";"Grand établissement";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Femme";22
2015;"contractuels";"Grand établissement";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Homme";7
2015;"contractuels";"Grand établissement";"B";"Secrétaires administratifs de l'éducation nationale et de l'enseignement supérieur";"SAENES";"Administrative";"Femme";116
2015;"contractuels";"Grand établissement";"B";"Secrétaires administratifs de l'éducation nationale et de l'enseignement supérieur";"SAENES";"Administrative";"Homme";7
2015;"contractuels";"Grand établissement";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Femme";593
2015;"contractuels";"Grand établissement";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Homme";239
2015;"contractuels";"Grand établissement";"C";"Adjoints administratifs de l'éducation nationale et de l'enseignement supérieur";"ADJAENES";"Administrative";"Femme";70
2015;"contractuels";"Grand établissement";"C";"Adjoints administratifs de l'éducation nationale et de l'enseignement supérieur";"ADJAENES";"Administrative";"Homme";10
2015;"contractuels";"Grand établissement";"C";"Adjoints techniques de recherche et de formation";"ATRF";"Ingénieurs et techniciens de recherche et de formation";"Femme";788
2015;"contractuels";"Grand établissement";"C";"Adjoints techniques de recherche et de formation";"ATRF";"Ingénieurs et techniciens de recherche et de formation";"Homme";498
2015;"contractuels";"Grand établissement";"C";"Magasiniers";"MAG";"Bibliothèque";"Femme";12
2015;"contractuels";"Grand établissement";"C";"Magasiniers";"MAG";"Bibliothèque";"Homme";1
2015;"contractuels";"Université";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Femme";1426
2015;"contractuels";"Université";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Homme";778
2015;"contractuels";"Université";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Femme";188
2015;"contractuels";"Université";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Homme";60
2015;"contractuels";"Université";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Femme";55
2015;"contractuels";"Université";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Homme";24
2015;"contractuels";"Université";"A";"Conseillers techniques de service social des administrations de l'Etat";"CTSSAE";"Sociale et de santé";"Femme";3
2015;"contractuels";"Université";"A";"Conseillers techniques de service social des administrations de l'Etat";"CTSSAE";"Sociale et de santé";"Homme";1
2015;"contractuels";"Université";"A";"Conservateurs des bibliothèques";"CONSER.";"Bibliothèque";"Femme";6
2015;"contractuels";"Université";"A";"Conservateurs des bibliothèques";"CONSER.";"Bibliothèque";"Homme";3
